Threads: 1
Ar_Br_Cr: {'min': 0.005714950333333333, 'max': 0.006271112333333333, 'med': 0.005734874666666667}
Ar_Br_Cl: {'min': 0.005704888000000001, 'max': 0.005728729666666667, 'med': 0.005712926666666666}
Ar_Bl_Cr: {'min': 0.005308841333333334, 'max': 0.005329887666666667, 'med': 0.005317253666666666}
Ar_Bl_Cl: {'min': 0.005311235666666666, 'max': 0.0053448893333333325, 'med': 0.005321358000000001}
Al_Br_Cr: {'min': 0.005761404666666667, 'max': 0.005814511333333334, 'med': 0.0057699940000000005}
Al_Br_Cl: {'min': 0.005771667, 'max': 0.005884633333333333, 'med': 0.005789985}
Al_Bl_Cr: {'min': 0.005589146333333333, 'max': 0.005634862333333333, 'med': 0.005599365666666667}
Al_Bl_Cl: {'min': 0.005633844, 'max': 0.005781425666666667, 'med': 0.005641438333333333}

Threads: 2
Ar_Br_Cr: {'min': 0.0032270655, 'max': 0.003436447, 'med': 0.0032355146666666664}
Ar_Br_Cl: {'min': 0.0032219356666666667, 'max': 0.003280970333333333, 'med': 0.00323252075}
Ar_Bl_Cr: {'min': 0.002955827333333333, 'max': 0.002973831, 'med': 0.002963328}
Ar_Bl_Cl: {'min': 0.0029446896666666666, 'max': 0.002965401666666667, 'med': 0.002949852666666667}
Al_Br_Cr: {'min': 0.006156419333333333, 'max': 0.006211883666666667, 'med': 0.006176958}
Al_Br_Cl: {'min': 0.006214201666666666, 'max': 0.006645735333333333, 'med': 0.006248165666666666}
Al_Bl_Cr: {'min': 0.0031618859999999996, 'max': 0.0031852229999999996, 'med': 0.0031771746666666664}
Al_Bl_Cl: {'min': 0.0031856573333333333, 'max': 0.003240444, 'med': 0.00321014}

Threads: 3
Ar_Br_Cr: {'min': 0.004114311666666666, 'max': 0.004278137333333334, 'med': 0.004179207333333333}
Ar_Br_Cl: {'min': 0.004089852333333334, 'max': 0.0042344775, 'med': 0.0041872359999999996}
Ar_Bl_Cr: {'min': 0.003764625666666667, 'max': 0.003776110666666667, 'med': 0.0037685630000000004}
Ar_Bl_Cl: {'min': 0.0037648526666666667, 'max': 0.0037750753333333337, 'med': 0.0037701093333333334}
Al_Br_Cr: {'min': 0.006978365666666667, 'max': 0.007729749333333333, 'med': 0.0074120969999999994}
Al_Br_Cl: {'min': 0.007216294333333334, 'max': 0.007759912666666667, 'med': 0.007543231}
Al_Bl_Cr: {'min': 0.003787953, 'max': 0.004044289666666667, 'med': 0.004035743666666667}
Al_Bl_Cl: {'min': 0.004055297, 'max': 0.004065165666666666, 'med': 0.004058072}

Threads: 4
Ar_Br_Cr: {'min': 0.0032950600000000003, 'max': 0.003519971, 'med': 0.003467542}
Ar_Br_Cl: {'min': 0.003382966, 'max': 0.004026005, 'med': 0.0034536523333333334}
Ar_Bl_Cr: {'min': 0.0029816760000000004, 'max': 0.003069411333333333, 'med': 0.0029898579999999998}
Ar_Bl_Cl: {'min': 0.0029741249999999998, 'max': 0.0032424843333333335, 'med': 0.0029795335}
Al_Br_Cr: {'min': 0.006817853, 'max': 0.0075601159999999995, 'med': 0.007212878}
Al_Br_Cl: {'min': 0.006519921000000001, 'max': 0.007757124333333334, 'med': 0.00701758525}
Al_Bl_Cr: {'min': 0.003281394333333333, 'max': 0.0034405543333333333, 'med': 0.003293928}
Al_Bl_Cl: {'min': 0.003306899, 'max': 0.003654107, 'med': 0.0033197466666666665}

Threads: 5
Ar_Br_Cr: {'min': 0.0038209953333333334, 'max': 0.0041289126666666665, 'med': 0.003883616333333333}
Ar_Br_Cl: {'min': 0.0038594876666666667, 'max': 0.003929249333333333, 'med': 0.003894864333333333}
Ar_Bl_Cr: {'min': 0.0034704276666666666, 'max': 0.003477678, 'med': 0.0034726046666666665}
Ar_Bl_Cl: {'min': 0.0034599509999999997, 'max': 0.00348223625, 'med': 0.003467999333333333}
Al_Br_Cr: {'min': 0.006657306666666667, 'max': 0.0075474750000000005, 'med': 0.007012683666666666}
Al_Br_Cl: {'min': 0.0069044426666666665, 'max': 0.007457642666666667, 'med': 0.007204284666666667}
Al_Bl_Cr: {'min': 0.003724089, 'max': 0.00378652, 'med': 0.0037532639999999996}
Al_Bl_Cl: {'min': 0.003769798333333333, 'max': 0.00378663525, 'med': 0.0037791593333333334}

Threads: 6
Ar_Br_Cr: {'min': 0.003442768666666667, 'max': 0.003877147666666667, 'med': 0.0035756875}
Ar_Br_Cl: {'min': 0.0034388846666666664, 'max': 0.0038860043333333334, 'med': 0.0035006435}
Ar_Bl_Cr: {'min': 0.0030063823333333333, 'max': 0.003285876, 'med': 0.003029526}
Ar_Bl_Cl: {'min': 0.0030006146666666667, 'max': 0.0031950850000000003, 'med': 0.003014761333333333}
Al_Br_Cr: {'min': 0.006921204333333333, 'max': 0.007514509666666666, 'med': 0.00734918525}
Al_Br_Cl: {'min': 0.006951661333333334, 'max': 0.007622877333333333, 'med': 0.0072848466666666665}
Al_Bl_Cr: {'min': 0.0032809233333333334, 'max': 0.0034535986666666667, 'med': 0.0033122623333333334}
Al_Bl_Cl: {'min': 0.00333007675, 'max': 0.003835034666666667, 'med': 0.003345274666666667}

